newsgroup_a,newsgroup_b,messages_a,messages_b,cosine_similarity
no.alt.irc-treff,no.typografi,1017,303,0.7583725
no.amiga,no.mail.drift,3265,576,0.75826955
no.bibsys,no.elektronikk,98,3838,0.75821376
no.c,no.mac,2562,22107,0.7581989
no.marked.data,no.spill,22621,12310,0.75819397
no.alt.config,no.spill,625,12310,0.75817174
no.alt.radio_tv.irma1000,no.musikk.klassisk,417,288,0.758127
no.c,no.news.diverse,2562,9287,0.7580937
no.c,no.mail.drift,2562,576,0.75807184
no.alt.pompelog,no.mac,287,22107,0.7580546
no.alt.gledesutbrudd,no.alt.katter,11406,1932,0.75803155
no.ef,no.film,1368,12505,0.7579642
no.alt.flame,no.alt.motorsykler,19929,42775,0.7579361
no.radio_tv,no.typografi,1682,303,0.757884
no.medisin,no.student.samfund,1490,234,0.7578498
no.spill.rollespill,no.vitser,1017,10517,0.7578293
no.eunet.diverse,no.tungregning,169,92,0.75781024
no.c,no.elektronikk,2562,3838,0.7577551
no.media,no.sport.diverse,123,6331,0.7577185
no.mail.diverse,no.x,1978,390,0.7576756
no.alt.irctreff,no.alt.mat,493,3909,0.7576523
no.hobby.diverse,no.skole.diverse,482,566,0.75758547
no.biz.diskusjoner,no.tegnsett,276,416,0.75756544
no.news.diverse,no.spill,9287,12310,0.7575552
no.org.efn.diskusjon,no.religion,1341,20428,0.7575055
no.alt.mat.drikke,no.litteratur,758,3989,0.75750446
no.irc,no.spill.rollespill,6511,1017,0.75744265
no.alt.god.jul,no.mail.diverse,750,1978,0.7574186
no.eunet.diverse,no.kjemi,169,1463,0.7574058
no.alt.radio-tv.irma-1000,no.pc,236,25734,0.75740564
no.eunet.drift,no.uninett.katalog,405,32,0.75740206
no.biz.diskusjoner,no.medisin,276,1490,0.757375
no.alt.irc-treff,no.prat.narkotika,1017,2474,0.7573335
no.marked.data,no.media,22621,123,0.7573228
no.alt.irc-treff,no.musikk.gitar,1017,2387,0.7573214
no.alt.katter,no.vitser,1932,10517,0.7572656
no.it.emacs,no.x,1054,390,0.75724435
no.ai,no.c,332,2562,0.75721306
no.ai,no.vitser,332,10517,0.75713545
no.alt.god.jul,no.uninett.skole,750,829,0.7571276
no.alt.irctreff,no.sport.orientering,493,63,0.7570041
no.lisp,no.multimedia,504,2273,0.7569508
no.mac,no.news.diverse,22107,9287,0.75694317
no.news.drift,no.spill,571,12310,0.7568728
no.alt.flame,no.prat.politikk,19929,3672,0.7568476
no.linux,no.uninett.hjelp,16315,78,0.75684
no.alt.mat,no.alt.pompelog,3909,287,0.75683916
no.alkohol,no.pressemeldinger.diskusjon,3468,42,0.75679505
no.alt.irc-treff,no.www,1017,3436,0.7567397
no.multimedia,no.spill.rollespill,2273,1017,0.7567371
no.alt.irc-treff,no.norsk.fagord,1017,310,0.7567275
no.norsk.fagord,no.unix,310,3935,0.7566948
no.c,no.news.drift,2562,571,0.7566724
no.audio,no.spill,10340,12310,0.75666976
no.pc,no.standard,25734,98,0.7566686
no.embnet,no.vr,398,144,0.7566275
no.eunet.diverse,no.norsk,169,17383,0.7566008
no.spill,no.vitser,12310,10517,0.7565949
no.it.emacs,no.perl,1054,1087,0.7564614
no.alt.gullkorn,no.jus,7,8006,0.75645256
no.tegnsett,no.uninett.drift,416,110,0.7564159
no.news.diverse,no.prat.narkotika,9287,2474,0.7563717
no.org.efn.diskusjon,no.prat.narkotika,1341,2474,0.75634944
no.alt.gullkorn,no.vit.diverse,7,622,0.7563088
no.mail.drift,no.ms-windows,576,8305,0.75628966
no.norsk.fagord,no.nuug,310,107,0.7562847
no.lisp,no.sources.wanted,504,152,0.7562665
no.alt.motorsykler,no.marked.diskusjon,42775,76,0.7562522
no.medisin,no.nuug,1490,107,0.756054
no.mail.drift,no.medisin,576,1490,0.7560345
no.kjemi,no.www,1463,3436,0.75599635
no.eunet.drift,no.sources.wanted,405,152,0.75594693
no.alt.diskusjoner,no.biz.nettilbydere,15893,824,0.7559042
no.spill,no.telepost,12310,948,0.7558593
no.alt.irctreff,no.marked.diskusjon,493,76,0.75575817
no.c,no.eunet.hjelp,2562,601,0.75574726
no.eunet.diverse,no.norsk.fagord,169,310,0.7557294
no.general,no.tele,76902,5701,0.75570023
no.alt.pompelog,no.tele,287,5701,0.7556642
no.elektronikk,no.jus,3838,8006,0.7556217
no.alt.radio-tv.irma-1000,no.tegnsett,236,416,0.7555936
no.alt.motorsykler,no.standard,42775,98,0.7555915
no.it.diverse,no.jus,527,8006,0.75553095
no.litteratur,no.mail.drift,3989,576,0.75551414
no.eunet.drift,no.tungregning,405,92,0.75545555
no.uninett.diverse,no.vit.diverse,207,622,0.75541884
no.slekt.programmer,no.typografi,459,303,0.75541323
no.irc,no.vr,6511,144,0.75541115
no.alt.radio-tv.irma-1000,no.slekt,236,8269,0.75532687
no.alt.gledesutbrudd,no.tegnsett,11406,416,0.7553218
no.alt.diskusjoner,no.mail.diverse,15893,1978,0.755296
no.norsk.fagord,no.uninett.hjelp,310,78,0.75525033
no.news.diverse,no.pc,9287,25734,0.75524473
no.alt.tegneserier,no.irc,2246,6511,0.7551384
no.film,no.spill,12505,12310,0.7550904
no.telepost,no.vit.diverse,948,622,0.75507396
no.litteratur,no.uninett.hjelp,3989,78,0.7550289
no.alt.radio-tv.irma-1000,no.folklore.edb,236,153,0.7550034
no.news.diverse,no.test,9287,3374,0.7549632
no.jus,no.multimedia,8006,2273,0.75495315
no.tele,no.uninett.skole,5701,829,0.75493443
no.it.diverse,no.it.emacs,527,1054,0.7548908
no.embnet,no.spill,398,12310,0.75481117
no.havforskning,no.musikk,516,27521,0.75479853
no.irc,no.it.emacs,6511,1054,0.7547475
no.alt.gullkorn,no.alt.tegneserier,7,2246,0.7547369
no.alt.config,no.film,625,12505,0.75466007
no.eunet.diverse,no.litteratur,169,3989,0.7545739
no.uninett.skole,no.vit.diverse,829,622,0.7545719
no.mail.drift,no.norsk,576,17383,0.75448966
no.eunet.hjelp,no.hobby.diverse,601,482,0.75443363
no.ef,no.slekt,1368,8269,0.75440353
no.alt.gullkorn,no.media,7,123,0.75440043
no.it.diverse,no.perl,527,1087,0.754268
no.alt.pompel-og-pilt,no.psykologi,367,1754,0.7542183
no.alt.radio_tv.irma1000,no.it.diverse,417,527,0.75419927
no.news.diverse,no.tele,9287,5701,0.75412464
no.amiga,no.news.drift,3265,571,0.75410855
no.alt.diskusjoner,no.alt.mat.drikke,15893,758,0.7540747
no.alt.radio_tv.irma1000,no.uninett.drift,417,110,0.7540251
no.alt.gullkorn,no.skole.diverse,7,566,0.75401944
no.alt.gledesutbrudd,no.elektronikk,11406,3838,0.75395536
no.musikk.gitar,no.radio_tv,2387,1682,0.75392336
no.alt.diskusjoner,no.org.isoc-no,15893,46,0.75391394
no.mac,no.uninett.skole,22107,829,0.7537976
no.radio-tv,no.typografi,4392,303,0.75367236
no.slekt.programmer,no.uninett.hjelp,459,78,0.753622
no.biz.diskusjoner,no.vit.diverse,276,622,0.75358117
no.c,no.x,2562,390,0.75355434
no.radio-tv,no.uninett.hjelp,4392,78,0.7534996
no.slekt,no.uninett.skole,8269,829,0.7534804
no.alt.irc-treff,no.eunet.drift,1017,405,0.75330216
no.medisin,no.telepost,1490,948,0.7532673
no.it.emacs,no.net,1054,2082,0.7532582
no.elektronikk,no.ms-windows,3838,8305,0.7532561
no.pc,no.uninett.skole,25734,829,0.7532317
no.pc,no.uninett.drift,25734,110,0.7532029
no.alt.config,no.elektronikk,625,3838,0.7531803
no.havforskning,no.musikk.gitar,516,2387,0.75316525
no.sport.fotball,no.sport.orientering,2324,63,0.75311875
no.sources.wanted,no.student.samfund,152,234,0.7531169
no.biz.nettilbydere,no.ms-windows,824,8305,0.75309163
no.alt.gledesutbrudd,no.musikk.klassisk,11406,288,0.7530432
no.musikk.gitar,no.radio-tv,2387,4392,0.7529324
no.medisin,no.radio-tv,1490,4392,0.75289875
no.alt.gullkorn,no.it.diverse,7,527,0.7528616
no.alt.frustrasjoner,no.uninett.drift,35424,110,0.7525773
no.ai,no.uninett.skole,332,829,0.7525734
no.amiga,no.marked,3265,26848,0.75252336
no.radio_tv,no.uninett.skole,1682,829,0.7524849
no.alt.amiga,no.audio,775,10340,0.75247127
no.alkohol,no.radio-tv,3468,4392,0.75241816
no.kryptografi,no.net,537,2082,0.75237656
no.biz.diskusjoner,no.litteratur,276,3989,0.75233954
no.alt.pompel-og-pilt,no.spill.rollespill,367,1017,0.75230753
no.ef,no.eunet.drift,1368,405,0.7522397
no.kryptografi,no.news.drift,537,571,0.75223917
no.nuug,no.vit.diverse,107,622,0.75223094
no.alt.diskusjoner,no.sport.diverse,15893,6331,0.7522293
no.c,no.slekt.programmer,2562,459,0.75221723
no.alt.mat,no.general,3909,76902,0.75219285
no.norsk,no.telepost,17383,948,0.7521323
no.telepost,no.vr,948,144,0.7521122
no.folklore.edb,no.spill,153,12310,0.7521036
no.norsk.fagord,no.prat.politikk,310,3672,0.7520322
no.it.diverse,no.radio-tv,527,4392,0.7520298
no.alt.motorsykler,no.musikk.gitar,42775,2387,0.75197935
no.alt.frustrasjoner,no.it.emacs,35424,1054,0.7519734
no.biz.nettilbydere,no.student.samfund,824,234,0.7519544
no.audio,no.biz.annonser,10340,3658,0.7519337
no.mac,no.slekt.programmer,22107,459,0.7519003
no.prat.seksualitet,no.student.samfund,3616,234,0.75185263
no.alt.motorsykler,no.skole.diverse,42775,566,0.7518233
no.marked.diskusjon,no.prat.seksualitet,76,3616,0.7518018
no.alt.amiga,no.biz.nettilbydere,775,824,0.75177544
no.ai,no.skole.diverse,332,566,0.75169647
no.bibsys,no.lisp,98,504,0.75168955
no.alt.god.jul,no.alt.sjokolade,750,580,0.75166154
no.net,no.video,2082,510,0.7515945
no.audio,no.tele,10340,5701,0.7514681
no.multimedia,no.vitser,2273,10517,0.75141984
no.alt.pompel-og-pilt,no.pc,367,25734,0.7514042
no.nuug,no.prat.seksualitet,107,3616,0.75135016
no.bibsys,no.c,98,2562,0.75132126
no.radio-tv,no.www,4392,3436,0.7512507
no.alt.radio-tv.irma-1000,no.lisp,236,504,0.7511684
no.alt.pompelog,no.amiga,287,3265,0.7511678
no.biz.diskusjoner,no.linux,276,16315,0.75114775
no.www,no.x,3436,390,0.7511451
no.alt.fan.de-lillos,no.news.drift,244,571,0.7511093
no.hobby.diverse,no.vr,482,144,0.75107896
no.uninett.skole,no.unix,829,3935,0.7510539
no.alt.irctreff,no.bil,493,6651,0.75095206
no.alt.motorsykler,no.news.drift,42775,571,0.75087965
no.mail.diverse,no.radio_tv,1978,1682,0.7507478
no.ai,no.alt.god.jul,332,750,0.7507427
no.embnet,no.prat.seksualitet,398,3616,0.750739
no.alt.diskusjoner,no.uninett.hjelp,15893,78,0.7506646
no.alt.irc-treff,no.psykologi,1017,1754,0.75066376
no.eunet.drift,no.radio_tv,405,1682,0.7506627
no.elektronikk,no.vr,3838,144,0.7506234
no.lisp,no.org.nobug.diverse,504,119,0.7506006
no.eunet.hjelp,no.slekt.programmer,601,459,0.7505724
no.news.diverse,no.prat.ufo,9287,762,0.7505265
no.kryptografi,no.mail.diverse,537,1978,0.75044966
no.alt.irctreff,no.org.efn.diskusjon,493,1341,0.7504177
no.folklore.edb,no.media,153,123,0.75040615
no.elektronikk,no.speider,3838,1463,0.7503612
no.musikk.gitar,no.vitser,2387,10517,0.75021964
no.havforskning,no.test,516,3374,0.75014186
no.alt.god.jul,no.test,750,3374,0.75012136
no.norsk.fagord,no.radio-tv,310,4392,0.7500938
no.tele,no.www,5701,3436,0.7500914
no.alt.tegneserier,no.musikk.klassisk,2246,288,0.7500671
no.marked.diskusjon,no.vit.diverse,76,622,0.75000215
no.video,no.vr,510,144,0.7499506
no.student.nett,no.tele,418,5701,0.7499099
no.alt.god.jul,no.norsk.fagord,750,310,0.7498913
no.mac,no.x,22107,390,0.7498225
no.religion,no.vitser,20428,10517,0.7497986
no.hobby.diverse,no.litteratur,482,3989,0.749725
no.bolig,no.havforskning,1148,516,0.7496843
no.alt.pompelog,no.unix,287,3935,0.74966764
no.alt.config,no.test,625,3374,0.74961305
no.alt.tegneserier,no.telepost,2246,948,0.7494951
no.slekt.programmer,no.telepost,459,948,0.74946564
no.ef,no.musikk,1368,27521,0.7494637
no.havforskning,no.spill,516,12310,0.7494319
no.uninett.drift,no.uninett.katalog,110,32,0.7494318
no.pc,no.typografi,25734,303,0.7493837
no.kryptografi,no.telepost,537,948,0.74934006
no.alt.config,no.unix,625,3935,0.74932534
no.elektronikk,no.uninett.drift,3838,110,0.74931806
no.amiga,no.c,3265,2562,0.74929386
no.embnet,no.tele,398,5701,0.74928486
no.alt.config,no.prat.ufo,625,762,0.7492842
no.reiser,no.speider,1987,1463,0.7491758
no.alt.radio_tv.irma1000,no.audio,417,10340,0.74907845
no.alt.irctreff,no.sykkel,493,3996,0.74888957
no.it.os.os2,no.tegnsett,696,416,0.7488586
no.embnet,no.linux,398,16315,0.748776
no.havforskning,no.org.isoc-no,516,46,0.74877566
no.alt.frustrasjoner,no.unix,35424,3935,0.7486935
no.alt.amiga,no.tele,775,5701,0.7485999
no.bibsys,no.pc,98,25734,0.7485881
no.alt.pompelog,no.sport.diverse,287,6331,0.7485515
no.audio,no.marked.data,10340,22621,0.7485221
no.it.diverse,no.student.samfund,527,234,0.7484613
no.film,no.news.diverse,12505,9287,0.7484478
no.student.nett,no.test,418,3374,0.7482948
no.alt.gullkorn,no.www,7,3436,0.74825495
no.alt.motorsykler,no.mail.drift,42775,576,0.74821
no.eunet.hjelp,no.org.isoc-no,601,46,0.74819475
no.alt.irctreff,no.typografi,493,303,0.74814147
no.havforskning,no.tegnsett,516,416,0.74813277
no.alt.gledesutbrudd,no.lisp,11406,504,0.7480637
no.eunet.drift,no.linux,405,16315,0.7480228
no.alt.pompelog,no.spill.rollespill,287,1017,0.748014
no.alt.god.jul,no.sport.diverse,750,6331,0.7479512
no.org.nobug.diverse,no.standard,119,98,0.747929
no.eunet.hjelp,no.uninett.katalog,601,32,0.74786186
no.eunet.hjelp,no.it.emacs,601,1054,0.74781585
no.audio,no.net,10340,2082,0.74768007
no.musikk.gitar,no.sources.wanted,2387,152,0.74766266
no.c,no.telepost,2562,948,0.74761164
no.alkohol,no.alt.gullkorn,3468,7,0.7476024
no.alt.tegneserier,no.prat.politikk,2246,3672,0.7475998
no.student.samfund,no.vit.diverse,234,622,0.74758744
no.alt.mat.drikke,no.vit.diverse,758,622,0.7475584
no.alt.god.jul,no.www,750,3436,0.74755025
no.multimedia,no.tungregning,2273,92,0.74751496
no.marked,no.tele,26848,5701,0.74750185
no.slekt,no.typografi,8269,303,0.7474883
no.mswindow,no.sources.wanted,772,152,0.7474383
no.eunet.diverse,no.slekt,169,8269,0.7474102
no.norsk,no.www,17383,3436,0.747398
no.alt.radio-tv.irma-1000,no.prat.narkotika,236,2474,0.747276
no.test,no.vitser,3374,10517,0.747267
no.slekt,no.sources.wanted,8269,152,0.7472635
no.alkohol,no.media,3468,123,0.7472196
no.biz.annonser,no.tele,3658,5701,0.7472082
no.norsk.fagord,no.radio_tv,310,1682,0.7471077
no.alt.mat,no.vit.diverse,3909,622,0.7470627
no.alt.motorsykler,no.vit.diverse,42775,622,0.74696624
no.alt.irc-treff,no.sport.orientering,1017,63,0.7468947
no.alt.radio_tv.irma1000,no.prat.narkotika,417,2474,0.74687636
no.sport.orientering,no.uninett.diverse,63,207,0.7468339
no.eunet.drift,no.ms-windows,405,8305,0.74678934
no.film,no.vit.diverse,12505,622,0.7467703
no.alt.fan.de-lillos,no.embnet,244,398,0.74675417
no.mail.drift,no.spill,576,12310,0.74665403
no.alt.pompelog,no.psykologi,287,1754,0.7465649
no.alt.radio-tv.irma-1000,no.mac,236,22107,0.74655294
no.alt.fan.de-lillos,no.skole.diverse,244,566,0.74652284
no.alt.motorsykler,no.student.samfund,42775,234,0.74650186
no.slekt,no.telepost,8269,948,0.74648523
no.litteratur,no.marked.diskusjon,3989,76,0.74646676
no.medisin,no.religion,1490,20428,0.74642336
no.sources.wanted,no.uninett.drift,152,110,0.7463979
no.eunet.drift,no.marked.diskusjon,405,76,0.7463755
no.vitser,no.www,10517,3436,0.74636096
no.c,no.mswindow,2562,772,0.74635935
no.prat.politikk,no.uninett.skole,3672,829,0.74634165
no.alkohol,no.musikk,3468,27521,0.7463061
no.lisp,no.telepost,504,948,0.7462961
no.mail.drift,no.slekt,576,8269,0.7462647
no.eunet.diverse,no.test,169,3374,0.74624157
no.alt.tegneserier,no.kjemi,2246,1463,0.7462399
no.medisin,no.radio_tv,1490,1682,0.7461899
no.alt.tegneserier,no.uninett.hjelp,2246,78,0.74617153
no.alt.config,no.uninett.katalog,625,32,0.74613357
no.mail.drift,no.vit.diverse,576,622,0.7461131
no.alt.gullkorn,no.alt.irctreff,7,493,0.7460666
no.mac,no.typografi,22107,303,0.74601096
no.general,no.musikk.gitar,76902,2387,0.7458229
no.ef,no.multimedia,1368,2273,0.74574554
no.eunet.hjelp,no.typografi,601,303,0.74571145
no.alt.irctreff,no.norsk.fagord,493,310,0.74568903
no.radio_tv,no.sport.diverse,1682,6331,0.74568427
no.medisin,no.uninett.skole,1490,829,0.74563485
no.it.emacs,no.norsk.fagord,1054,310,0.7456286
no.ms-windows,no.x,8305,390,0.7455702
no.amiga,no.embnet,3265,398,0.74551046
no.biz.annonser,no.embnet,3658,398,0.74549097
no.radio_tv,no.vr,1682,144,0.7454818
no.tungregning,no.unix,92,3935,0.7454667
no.biz.diskusjoner,no.tungregning,276,92,0.7454525
no.lisp,no.skole.diverse,504,566,0.745437
no.alt.mat.drikke,no.ef,758,1368,0.7454164
no.amiga,no.tele,3265,5701,0.745393
no.net,no.vit.diverse,2082,622,0.745355
no.eunet.hjelp,no.spill,601,12310,0.7453315
no.speider,no.spill,1463,12310,0.7452987
no.biz.nettilbydere,no.speider,824,1463,0.7452895
no.pressemeldinger.diskusjon,no.slekt,42,8269,0.74528944
no.alt.gullkorn,no.bibsys,7,98,0.745264
no.bibsys,no.tele,98,5701,0.7452004
no.film,no.prat.seksualitet,12505,3616,0.74510694
no.litteratur,no.telepost,3989,948,0.74502796
no.alt.motorsykler,no.kjemi,42775,1463,0.7450157
no.vit.diverse,no.www,622,3436,0.7450088
no.media,no.test,123,3374,0.7449722
no.ai,no.typografi,332,303,0.7449713
no.folklore.edb,no.uninett.skole,153,829,0.7449598
no.alt.frustrasjoner,no.c,35424,2562,0.74468464
no.stortinget,no.uninett.skole,2563,829,0.7446743
no.biz.diskusjoner,no.ms-windows,276,8305,0.7445962
no.prat.seksualitet,no.student.nett,3616,418,0.7445951
no.telepost,no.tungregning,948,92,0.7445861
no.mail.diverse,no.speider,1978,1463,0.74457663
no.ai,no.test,332,3374,0.7444268
no.alt.gullkorn,no.litteratur,7,3989,0.7444228
no.general,no.vr,76902,144,0.7444072
no.multimedia,no.x,2273,390,0.7443926
no.mail.diverse,no.radio-tv,1978,4392,0.7443804
no.org.decus,no.org.dnd,25,73,0.7443741
no.bibsys,no.unix,98,3935,0.7443339
no.radio_tv,no.uninett.drift,1682,110,0.7442744
no.tele,no.unix,5701,3935,0.7441622
no.it.diverse,no.org.isoc-no,527,46,0.7441008
no.alt.fan.de-lillos,no.ef,244,1368,0.74408734
no.eunet.diverse,no.kryptografi,169,537,0.74407965
no.ai,no.alt.irc-treff,332,1017,0.74405766
no.alt.pompel-og-pilt,no.prat.ufo,367,762,0.74393827
no.alt.tegneserier,no.sport.diverse,2246,6331,0.74391496
no.general,no.pc,76902,25734,0.7438747
no.alt.gullkorn,no.norsk.fagord,7,310,0.7438053
no.alt.god.jul,no.musikk.gitar,750,2387,0.7437929
no.biz.diskusjoner,no.bolig,276,1148,0.74376076
no.vr,no.www,144,3436,0.74375504
no.bibsys,no.biz.annonser,98,3658,0.7437545
no.alt.god.jul,no.psykologi,750,1754,0.7437364
no.prat.ufo,no.vitser,762,10517,0.7437263
no.ef,no.sport.diverse,1368,6331,0.7436981
no.alt.motorsykler,no.bibsys,42775,98,0.7435941
no.alt.radio_tv.irma1000,no.religion,417,20428,0.7435799
no.radio_tv,no.sources.wanted,1682,152,0.7435039
no.alt.pompel-og-pilt,no.org.isoc-no,367,46,0.7434959
no.mac,no.standard,22107,98,0.7434948
no.alt.irc-treff,no.it.diverse,1017,527,0.74346703
no.biz.diskusjoner,no.org.dnd,276,73,0.74345046
no.alt.pompelog,no.bolig,287,1148,0.74337935
no.eunet.diverse,no.prat.seksualitet,169,3616,0.74337804
no.org.efn.diskusjon,no.tele,1341,5701,0.7433745
no.alt.gullkorn,no.norsk,7,17383,0.7433461
no.alt.gullkorn,no.tegnsett,7,416,0.74328387
no.alt.tegneserier,no.pressemeldinger.diskusjon,2246,42,0.743268
no.alt.gullkorn,no.typografi,7,303,0.7432572
no.alt.pompel-og-pilt,no.amiga,367,3265,0.74322885
no.eunet.diverse,no.medisin,169,1490,0.74322176
no.prat.seksualitet,no.prat.ufo,3616,762,0.7431943
no.havforskning,no.religion,516,20428,0.7431793
no.org.isoc-no,no.skole.diverse,46,566,0.743012
no.alkohol,no.uninett.diverse,3468,207,0.74298036
no.alt.config,no.it.emacs,625,1054,0.74295795
no.alt.config,no.alt.mat.drikke,625,758,0.7429303
no.alkohol,no.bibsys,3468,98,0.7429267
no.folklore.edb,no.hobby.diverse,153,482,0.74286973
no.radio_tv,no.tele,1682,5701,0.74282175
no.alt.radio_tv.irma1000,no.prat.ufo,417,762,0.7427956
no.alt.radio-tv.irma-1000,no.biz.annonser,236,3658,0.7427888
no.alt.frustrasjoner,no.bil,35424,6651,0.74273145
no.alt.pompel-og-pilt,no.unix,367,3935,0.74266726
no.prat.ufo,no.radio_tv,762,1682,0.74261457
no.kryptografi,no.nuug,537,107,0.74257
no.telepost,no.test,948,3374,0.74256676
no.alt.god.jul,no.spill,750,12310,0.74250567
no.uninett.skole,no.vitser,829,10517,0.74246234
no.eunet.hjelp,no.havforskning,601,516,0.74244463
no.it.os.os2,no.mail.drift,696,576,0.7424395
no.alkohol,no.religion,3468,20428,0.7423773
no.general,no.kryptografi,76902,537,0.7423507
no.multimedia,no.pressemeldinger.diskusjon,2273,42,0.7423363
no.hobby.diverse,no.pressemeldinger.diskusjon,482,42,0.74233305
no.eunet.diverse,no.linux,169,16315,0.7423148
no.alt.irc-treff,no.reiser,1017,1987,0.7423066
no.lisp,no.nuug,504,107,0.7422351
no.mac,no.video,22107,510,0.7421118
no.slekt.programmer,no.uninett.diverse,459,207,0.7420212
no.student.samfund,no.www,234,3436,0.74200004
no.speider,no.typografi,1463,303,0.74199355
no.news.diverse,no.org.nobug.diverse,9287,119,0.7419904
no.musikk.gitar,no.video,2387,510,0.7419061
no.alt.gledesutbrudd,no.uninett.drift,11406,110,0.7419051
no.eunet.diverse,no.slekt.programmer,169,459,0.7418222
no.alt.motorsykler,no.film,42775,12505,0.7418204
no.prat.narkotika,no.skole.diverse,2474,566,0.7418084
no.embnet,no.psykologi,398,1754,0.74174386
no.elektronikk,no.vit.diverse,3838,622,0.7417294
no.alt.sjokolade,no.alt.tegneserier,580,2246,0.74171984
no.alt.fan.de-lillos,no.nuug,244,107,0.74168235
no.kjemi,no.mail.diverse,1463,1978,0.7416774
no.medisin,no.uninett.hjelp,1490,78,0.74166155
no.bibsys,no.uninett.katalog,98,32,0.74160665
no.biz.diskusjoner,no.c,276,2562,0.74159145
no.alt.diskusjoner,no.multimedia,15893,2273,0.7415661
no.org.decus,no.uninett.diverse,25,207,0.74155146
no.bibsys,no.spill.rollespill,98,1017,0.74147844
no.alt.god.jul,no.spill.rollespill,750,1017,0.7414067
no.news.diverse,no.vr,9287,144,0.74138916
no.org.nobug.diverse,no.tegnsett,119,416,0.7413699
no.uninett.hjelp,no.vitser,78,10517,0.7413553
no.alt.irctreff,no.sources.wanted,493,152,0.74130917
no.alt.irc-treff,no.alt.mat,1017,3909,0.74125606
no.news.drift,no.org.decus,571,25,0.74120915
no.mail.diverse,no.org.isoc-no,1978,46,0.7411884
no.amiga,no.uninett.diverse,3265,207,0.7410103
no.alt.gullkorn,no.biz.diskusjoner,7,276,0.74090016
no.ms-windows,no.spill,8305,12310,0.7408911
no.radio-tv,no.uninett.skole,4392,829,0.740861
no.alt.amiga,no.mail.diverse,775,1978,0.7407965
no.folklore.edb,no.vitser,153,10517,0.7407863
no.alt.pompelog,no.marked,287,26848,0.74063
no.nuug,no.vr,107,144,0.74062294
no.norsk.fagord,no.pressemeldinger.diskusjon,310,42,0.7406211
no.marked.jobb,no.media,3836,123,0.74057585
no.alkohol,no.alt.tegneserier,3468,2246,0.74056137
no.alt.tegneserier,no.medisin,2246,1490,0.74055827
no.alt.motorsykler,no.medisin,42775,1490,0.7405547
no.mail.diverse,no.test,1978,3374,0.740523
no.alt.irc-treff,no.sources.wanted,1017,152,0.74050653
no.marked.diskusjon,no.typografi,76,303,0.7404712
no.alt.radio-tv.irma-1000,no.unix,236,3935,0.7404335
no.alt.pompel-og-pilt,no.mac,367,22107,0.74023074
no.alt.motorsykler,no.multimedia,42775,2273,0.7402239
no.standard,no.test,98,3374,0.7401158
no.folklore.edb,no.tungregning,153,92,0.74010766
no.eunet.drift,no.skole.diverse,405,566,0.74006546
no.alt.fan.de-lillos,no.standard,244,98,0.74003863
no.alt.mat.drikke,no.musikk.gitar,758,2387,0.74002755
no.news.drift,no.svar,571,207,0.740019
no.bibsys,no.mac,98,22107,0.7400161
no.alkohol,no.radio_tv,3468,1682,0.73999405
no.news.diverse,no.org.dnd,9287,73,0.7399903
no.lisp,no.norsk,504,17383,0.73982066
no.eunet.drift,no.jus,405,8006,0.73980355
no.uninett.drift,no.unix,110,3935,0.7397907
no.havforskning,no.lisp,516,504,0.7397227
no.it.emacs,no.uninett.hjelp,1054,78,0.739676
no.folklore.edb,no.uninett.drift,153,110,0.7396708
no.alt.mat.drikke,no.media,758,123,0.73965645
no.alkohol,no.news.drift,3468,571,0.7395751
no.org.isoc-no,no.student.samfund,46,234,0.73955745
no.alt.tegneserier,no.stortinget,2246,2563,0.7394674
no.musikk,no.prat.seksualitet,27521,3616,0.7394602
no.alt.radio_tv.irma1000,no.tele,417,5701,0.739443
no.alt.tegneserier,no.sources.wanted,2246,152,0.73942804
no.alt.diskusjoner,no.spill.rollespill,15893,1017,0.73934114
no.alt.gledesutbrudd,no.bil,11406,6651,0.7393166
no.mail.diverse,no.mswindow,1978,772,0.73919696
no.ai,no.religion,332,20428,0.7390534
no.alkohol,no.student.nett,3468,418,0.73903275
no.alt.mat,no.alt.pompel-og-pilt,3909,367,0.73899055
no.ai,no.pc,332,25734,0.73898816
no.it.emacs,no.telepost,1054,948,0.7388105
no.student.nett,no.vr,418,144,0.7387987
no.marked.jobb,no.uninett.diverse,3836,207,0.7387895
no.alt.config,no.lisp,625,504,0.7387835
no.news.drift,no.vr,571,144,0.7387668
no.tungregning,no.uninett.skole,92,829,0.73874485
no.alt.pompelog,no.prat.ufo,287,762,0.73870015
no.alt.fan.de-lillos,no.alt.mat.drikke,244,758,0.73868364
no.ai,no.tegnsett,332,416,0.7386484
no.eunet.drift,no.radio-tv,405,4392,0.73862207
no.alt.god.jul,no.sources.wanted,750,152,0.7385694
no.alt.flame,no.alt.tegneserier,19929,2246,0.7385499
no.havforskning,no.spill.rollespill,516,1017,0.7385112
no.medisin,no.net,1490,2082,0.73844683
no.folklore.edb,no.x,153,390,0.7383779
no.biz.annonser.data,no.marked.diskusjon,1311,76,0.7383777
no.marked.data,no.net,22621,2082,0.73835677
no.alt.gullkorn,no.prat.seksualitet,7,3616,0.73832655
no.alt.gullkorn,no.multimedia,7,2273,0.7383103
no.mail.diverse,no.org.nobug.diverse,1978,119,0.73824096
